GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Mean income (dollars); Estimate; All households
0500000US12009,12009,"Brevard County, Florida",73082
0500000US12011,12011,"Broward County, Florida",82449
0500000US12015,12015,"Charlotte County, Florida",66009
0500000US12017,12017,"Citrus County, Florida",55172
0500000US12019,12019,"Clay County, Florida",82306
0500000US12021,12021,"Collier County, Florida",103133
0500000US12023,12023,"Columbia County, Florida",56092
0500000US12031,12031,"Duval County, Florida",72894
0500000US12033,12033,"Escambia County, Florida",64246
0500000US12035,12035,"Flagler County, Florida",62637
0500000US12053,12053,"Hernando County, Florida",58638
0500000US12055,12055,"Highlands County, Florida",50430
0500000US12057,12057,"Hillsborough County, Florida",79084
0500000US12061,12061,"Indian River County, Florida",82567
0500000US12069,12069,"Lake County, Florida",65443
0500000US12071,12071,"Lee County, Florida",77931
0500000US12073,12073,"Leon County, Florida",75108
0500000US12081,12081,"Manatee County, Florida",76958
0500000US12083,12083,"Marion County, Florida",60694
0500000US12085,12085,"Martin County, Florida",97743
0500000US12086,12086,"Miami-Dade County, Florida",73762
0500000US12087,12087,"Monroe County, Florida",100467
0500000US12089,12089,"Nassau County, Florida",91812
0500000US12091,12091,"Okaloosa County, Florida",80915
0500000US12095,12095,"Orange County, Florida",79866
0500000US12097,12097,"Osceola County, Florida",63320
0500000US12099,12099,"Palm Beach County, Florida",93146
0500000US12101,12101,"Pasco County, Florida",68680
0500000US12103,12103,"Pinellas County, Florida",74485
0500000US12105,12105,"Polk County, Florida",64787
0500000US12107,12107,"Putnam County, Florida",45434
0500000US12109,12109,"St. Johns County, Florida",102604
0500000US12111,12111,"St. Lucie County, Florida",65458
0500000US12113,12113,"Santa Rosa County, Florida",78141
0500000US12115,12115,"Sarasota County, Florida",86904
0500000US12117,12117,"Seminole County, Florida",87078
0500000US12119,12119,"Sumter County, Florida",68865
0500000US12127,12127,"Volusia County, Florida",63835
0500000US12131,12131,"Walton County, Florida",72156
0500000US13013,13013,"Barrow County, Georgia",68643
0500000US13015,13015,"Bartow County, Georgia",72742
0500000US13021,13021,"Bibb County, Georgia",61934
0500000US13031,13031,"Bulloch County, Georgia",59163
0500000US13045,13045,"Carroll County, Georgia",65987
0500000US13047,13047,"Catoosa County, Georgia",69517
0500000US13051,13051,"Chatham County, Georgia",77300
0500000US13057,13057,"Cherokee County, Georgia",95248
0500000US13059,13059,"Clarke County, Georgia",60909
0500000US13063,13063,"Clayton County, Georgia",55991
0500000US13067,13067,"Cobb County, Georgia",100846
0500000US13073,13073,"Columbia County, Georgia",92116
0500000US13077,13077,"Coweta County, Georgia",88829
0500000US13089,13089,"DeKalb County, Georgia",88119
0500000US13095,13095,"Dougherty County, Georgia",52320
0500000US13097,13097,"Douglas County, Georgia",71273
0500000US13113,13113,"Fayette County, Georgia",105116
0500000US13115,13115,"Floyd County, Georgia",62691
0500000US13117,13117,"Forsyth County, Georgia",122693
0500000US13121,13121,"Fulton County, Georgia",108434
0500000US13127,13127,"Glynn County, Georgia",80082
0500000US13135,13135,"Gwinnett County, Georgia",89726
0500000US13139,13139,"Hall County, Georgia",89711
0500000US13151,13151,"Henry County, Georgia",81309
0500000US13153,13153,"Houston County, Georgia",74731
0500000US13157,13157,"Jackson County, Georgia",87968
0500000US13185,13185,"Lowndes County, Georgia",55196
0500000US13215,13215,"Muscogee County, Georgia",64410
0500000US13217,13217,"Newton County, Georgia",73179
0500000US13223,13223,"Paulding County, Georgia",77476
0500000US13245,13245,"Richmond County, Georgia",54286
0500000US13247,13247,"Rockdale County, Georgia",78278
0500000US13255,13255,"Spalding County, Georgia",63689
0500000US13285,13285,"Troup County, Georgia",54688
0500000US13295,13295,"Walker County, Georgia",62633
0500000US13297,13297,"Walton County, Georgia",69723
0500000US13313,13313,"Whitfield County, Georgia",59761
0500000US15001,15001,"Hawaii County, Hawaii",75842
0500000US15003,15003,"Honolulu County, Hawaii",103713
0500000US15007,15007,"Kauai County, Hawaii",89431
0500000US15009,15009,"Maui County, Hawaii",101611
0500000US16001,16001,"Ada County, Idaho",84425
0500000US16005,16005,"Bannock County, Idaho",66834
0500000US16019,16019,"Bonneville County, Idaho",68129
0500000US16027,16027,"Canyon County, Idaho",61381
0500000US16055,16055,"Kootenai County, Idaho",75775
0500000US16083,16083,"Twin Falls County, Idaho",63153
0500000US17001,17001,"Adams County, Illinois",70711
0500000US17019,17019,"Champaign County, Illinois",73138
0500000US17031,17031,"Cook County, Illinois",90072
0500000US17037,17037,"DeKalb County, Illinois",74981
0500000US17043,17043,"DuPage County, Illinois",116575
0500000US17089,17089,"Kane County, Illinois",99356
0500000US17091,17091,"Kankakee County, Illinois",72518
0500000US17093,17093,"Kendall County, Illinois",109698
0500000US17097,17097,"Lake County, Illinois",121919
0500000US17099,17099,"LaSalle County, Illinois",75129
0500000US17111,17111,"McHenry County, Illinois",103882
0500000US17113,17113,"McLean County, Illinois",86291
0500000US17115,17115,"Macon County, Illinois",69125
0500000US17119,17119,"Madison County, Illinois",72904
0500000US17143,17143,"Peoria County, Illinois",76232
0500000US17161,17161,"Rock Island County, Illinois",67381
0500000US17163,17163,"St. Clair County, Illinois",69690
0500000US17167,17167,"Sangamon County, Illinois",80636
0500000US17179,17179,"Tazewell County, Illinois",82060
0500000US17183,17183,"Vermilion County, Illinois",57732
0500000US17197,17197,"Will County, Illinois",99668
0500000US17199,17199,"Williamson County, Illinois",63568
0500000US17201,17201,"Winnebago County, Illinois",69603
0500000US18003,18003,"Allen County, Indiana",67378
0500000US18005,18005,"Bartholomew County, Indiana",78611
0500000US18011,18011,"Boone County, Indiana",120429
0500000US18019,18019,"Clark County, Indiana",66060
0500000US18035,18035,"Delaware County, Indiana",64890
0500000US18039,18039,"Elkhart County, Indiana",73704
0500000US18043,18043,"Floyd County, Indiana",79760
0500000US18053,18053,"Grant County, Indiana",56051
0500000US18057,18057,"Hamilton County, Indiana",126775
0500000US18059,18059,"Hancock County, Indiana",80586
0500000US18063,18063,"Hendricks County, Indiana",93279
0500000US18067,18067,"Howard County, Indiana",61216
0500000US18081,18081,"Johnson County, Indiana",87535
0500000US18085,18085,"Kosciusko County, Indiana",75990
0500000US18089,18089,"Lake County, Indiana",68949
0500000US18091,18091,"LaPorte County, Indiana",62150
0500000US18095,18095,"Madison County, Indiana",57042
0500000US18097,18097,"Marion County, Indiana",66007
0500000US18105,18105,"Monroe County, Indiana",68142
0500000US18109,18109,"Morgan County, Indiana",69364
0500000US18127,18127,"Porter County, Indiana",81165
0500000US18141,18141,"St. Joseph County, Indiana",70470
0500000US18157,18157,"Tippecanoe County, Indiana",70364
0500000US18163,18163,"Vanderburgh County, Indiana",67452
0500000US18167,18167,"Vigo County, Indiana",56308
0500000US18177,18177,"Wayne County, Indiana",65093
0500000US19013,19013,"Black Hawk County, Iowa",67110
0500000US19049,19049,"Dallas County, Iowa",111897
0500000US19061,19061,"Dubuque County, Iowa",82496
0500000US19103,19103,"Johnson County, Iowa",80120
0500000US19113,19113,"Linn County, Iowa",78447
0500000US19153,19153,"Polk County, Iowa",86580
0500000US19155,19155,"Pottawattamie County, Iowa",72670
0500000US19163,19163,"Scott County, Iowa",79297
0500000US19169,19169,"Story County, Iowa",78596
0500000US19193,19193,"Woodbury County, Iowa",68109
0500000US20015,20015,"Butler County, Kansas",76826
0500000US20045,20045,"Douglas County, Kansas",75162
0500000US20091,20091,"Johnson County, Kansas",111955
0500000US20103,20103,"Leavenworth County, Kansas",81483
0500000US20161,20161,"Riley County, Kansas",69751
0500000US20173,20173,"Sedgwick County, Kansas",70753
0500000US20177,20177,"Shawnee County, Kansas",68787
0500000US20209,20209,"Wyandotte County, Kansas",57902
0500000US21015,21015,"Boone County, Kentucky",92815
0500000US21029,21029,"Bullitt County, Kentucky",74255
0500000US21037,21037,"Campbell County, Kentucky",83867
0500000US21047,21047,"Christian County, Kentucky",57341
0500000US21059,21059,"Daviess County, Kentucky",71623
0500000US21067,21067,"Fayette County, Kentucky",80323
0500000US21093,21093,"Hardin County, Kentucky",73428
0500000US21111,21111,"Jefferson County, Kentucky",76231
0500000US21117,21117,"Kenton County, Kentucky",79023
0500000US21145,21145,"McCracken County, Kentucky",67726
0500000US21151,21151,"Madison County, Kentucky",66680
0500000US21185,21185,"Oldham County, Kentucky",124071
0500000US21227,21227,"Warren County, Kentucky",73753
0500000US22005,22005,"Ascension Parish, Louisiana",83116
0500000US22015,22015,"Bossier Parish, Louisiana",63582
0500000US22017,22017,"Caddo Parish, Louisiana",58586
0500000US22019,22019,"Calcasieu Parish, Louisiana",71501
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",78132
0500000US22045,22045,"Iberia Parish, Louisiana",52861
0500000US22051,22051,"Jefferson Parish, Louisiana",70603
0500000US22055,22055,"Lafayette Parish, Louisiana",73581
0500000US22057,22057,"Lafourche Parish, Louisiana",69827
0500000US22063,22063,"Livingston Parish, Louisiana",71671
0500000US22071,22071,"Orleans Parish, Louisiana",64136
0500000US22073,22073,"Ouachita Parish, Louisiana",62093
0500000US22079,22079,"Rapides Parish, Louisiana",59088
0500000US22097,22097,"St. Landry Parish, Louisiana",48948
0500000US22103,22103,"St. Tammany Parish, Louisiana",87761
0500000US22105,22105,"Tangipahoa Parish, Louisiana",59624
0500000US22109,22109,"Terrebonne Parish, Louisiana",59293
0500000US23001,23001,"Androscoggin County, Maine",62221
0500000US23003,23003,"Aroostook County, Maine",57471
0500000US23005,23005,"Cumberland County, Maine",90071
0500000US23011,23011,"Kennebec County, Maine",67774
0500000US23019,23019,"Penobscot County, Maine",65926
0500000US23031,23031,"York County, Maine",87570
0500000US24001,24001,"Allegany County, Maryland",55345
0500000US24003,24003,"Anne Arundel County, Maryland",116192
0500000US24005,24005,"Baltimore County, Maryland",98704
0500000US24009,24009,"Calvert County, Maryland",122742
0500000US24013,24013,"Carroll County, Maryland",111764
0500000US24015,24015,"Cecil County, Maryland",91524
0500000US24017,24017,"Charles County, Maryland",110250
0500000US24021,24021,"Frederick County, Maryland",108811
0500000US24025,24025,"Harford County, Maryland",100754
0500000US24027,24027,"Howard County, Maryland",139444
0500000US24031,24031,"Montgomery County, Maryland",141677
0500000US24033,24033,"Prince George's County, Maryland",99417
0500000US24037,24037,"St. Mary's County, Maryland",102679
0500000US24043,24043,"Washington County, Maryland",77143
0500000US24045,24045,"Wicomico County, Maryland",70960
0500000US24510,24510,"Baltimore city, Maryland",69676
0500000US25001,25001,"Barnstable County, Massachusetts",94013
0500000US25003,25003,"Berkshire County, Massachusetts",78821
0500000US25005,25005,"Bristol County, Massachusetts",89690
0500000US25009,25009,"Essex County, Massachusetts",102521
0500000US25011,25011,"Franklin County, Massachusetts",77451
0500000US25013,25013,"Hampden County, Massachusetts",73897
0500000US25015,25015,"Hampshire County, Massachusetts",87510
0500000US25017,25017,"Middlesex County, Massachusetts",130185
0500000US25021,25021,"Norfolk County, Massachusetts",134893
0500000US25023,25023,"Plymouth County, Massachusetts",111212
0500000US25025,25025,"Suffolk County, Massachusetts",97542
0500000US25027,25027,"Worcester County, Massachusetts",93332
0500000US26005,26005,"Allegan County, Michigan",75676
0500000US26017,26017,"Bay County, Michigan",59156
0500000US26021,26021,"Berrien County, Michigan",67006
0500000US26025,26025,"Calhoun County, Michigan",61253
0500000US26037,26037,"Clinton County, Michigan",82870
0500000US26045,26045,"Eaton County, Michigan",78385
0500000US26049,26049,"Genesee County, Michigan",63052
0500000US26055,26055,"Grand Traverse County, Michigan",78320
0500000US26065,26065,"Ingham County, Michigan",69785
0500000US26073,26073,"Isabella County, Michigan",59829
0500000US26075,26075,"Jackson County, Michigan",70530
0500000US26077,26077,"Kalamazoo County, Michigan",79706
0500000US26081,26081,"Kent County, Michigan",79961
0500000US26087,26087,"Lapeer County, Michigan",70533
0500000US26091,26091,"Lenawee County, Michigan",66649
0500000US26093,26093,"Livingston County, Michigan",99644
0500000US26099,26099,"Macomb County, Michigan",76792
0500000US26103,26103,"Marquette County, Michigan",64332
0500000US26111,26111,"Midland County, Michigan",88348
0500000US26115,26115,"Monroe County, Michigan",74748
0500000US26121,26121,"Muskegon County, Michigan",65219
0500000US26125,26125,"Oakland County, Michigan",106630
0500000US26139,26139,"Ottawa County, Michigan",84259
0500000US26145,26145,"Saginaw County, Michigan",62214
0500000US26147,26147,"St. Clair County, Michigan",74213
0500000US26155,26155,"Shiawassee County, Michigan",65455
0500000US26159,26159,"Van Buren County, Michigan",67165
0500000US26161,26161,"Washtenaw County, Michigan",97065
0500000US26163,26163,"Wayne County, Michigan",64912
0500000US27003,27003,"Anoka County, Minnesota",94425
0500000US27013,27013,"Blue Earth County, Minnesota",75534
0500000US27019,27019,"Carver County, Minnesota",127074
0500000US27037,27037,"Dakota County, Minnesota",102714
0500000US27053,27053,"Hennepin County, Minnesota",106391
0500000US27109,27109,"Olmsted County, Minnesota",98220
0500000US27123,27123,"Ramsey County, Minnesota",85297
0500000US27131,27131,"Rice County, Minnesota",77416
0500000US27137,27137,"St. Louis County, Minnesota",68629
0500000US27139,27139,"Scott County, Minnesota",115133
0500000US27141,27141,"Sherburne County, Minnesota",102799
0500000US27145,27145,"Stearns County, Minnesota",79662
0500000US27163,27163,"Washington County, Minnesota",119339
0500000US27171,27171,"Wright County, Minnesota",96541
0500000US28033,28033,"DeSoto County, Mississippi",81929
0500000US28035,28035,"Forrest County, Mississippi",50391
