GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US35001,35001,"Bernalillo County, New Mexico",61982,31437,30545,5578,465107,75046
0500000US35005,35005,"Chaves County, New Mexico",6342,3274,3068,248,41055,2533
0500000US35013,35013,"Doa Ana County, New Mexico",32599,16993,15606,2728,129529,12692
0500000US35025,35025,"Lea County, New Mexico",6528,3445,3083,74,41484,2165
0500000US35031,35031,"McKinley County, New Mexico",6841,3633,3208,50,44311,3171
0500000US35035,35035,"Otero County, New Mexico",7314,4386,2928,357,43074,3053
0500000US35043,35043,"Sandoval County, New Mexico",10987,5586,5401,745,97983,11618
0500000US35045,35045,"San Juan County, New Mexico",11622,6010,5612,91,81121,4045
0500000US35049,35049,"Santa Fe County, New Mexico",11127,5609,5518,584,110401,22152
0500000US35061,35061,"Valencia County, New Mexico",7326,3114,4212,95,50650,2838
0500000US36001,36001,"Albany County, New York",46843,23616,23227,9512,205266,42571
0500000US36005,36005,"Bronx County, New York",152674,77236,75438,13606,953271,67208
0500000US36007,36007,"Broome County, New York",28093,15020,13073,3884,127879,15506
0500000US36009,36009,"Cattaraugus County, New York",7291,3785,3506,501,52806,4740
0500000US36011,36011,"Cayuga County, New York",6212,2973,3239,474,55989,4537
0500000US36013,36013,"Chautauqua County, New York",13747,7590,6157,901,88890,9249
0500000US36015,36015,"Chemung County, New York",7074,3618,3456,176,60282,6888
0500000US36019,36019,"Clinton County, New York",11221,5799,5422,1139,55133,5088
0500000US36027,36027,"Dutchess County, New York",32876,16155,16721,3670,206240,33979
0500000US36029,36029,"Erie County, New York",86847,43664,43183,11423,649960,94011
0500000US36045,36045,"Jefferson County, New York",14771,9918,4853,821,72243,6066
0500000US36047,36047,"Kings County, New York",222446,108441,114005,41199,1820860,272709
0500000US36051,36051,"Livingston County, New York",9477,4678,4799,620,42931,4541
0500000US36053,36053,"Madison County, New York",8689,4233,4456,761,48108,5474
0500000US36055,36055,"Monroe County, New York",75827,38200,37627,11560,515145,87925
0500000US36059,36059,"Nassau County, New York",122645,62744,59901,28560,951605,192591
0500000US36061,36061,"New York County, New York",151885,69053,82832,51972,1273269,381334
0500000US36063,36063,"Niagara County, New York",17887,9255,8632,2233,151004,16834
0500000US36065,36065,"Oneida County, New York",21676,11614,10062,2596,160501,15430
0500000US36067,36067,"Onondaga County, New York",48554,23592,24962,6097,317164,50344
0500000US36069,36069,"Ontario County, New York",9421,4997,4424,1494,77999,11547
0500000US36071,36071,"Orange County, New York",40000,22960,17040,4886,244723,31454
0500000US36075,36075,"Oswego County, New York",13617,6969,6648,631,80195,6685
0500000US36079,36079,"Putnam County, New York",8136,4698,3438,1859,71447,12736
0500000US36081,36081,"Queens County, New York",189306,93989,95317,29764,1695302,187649
